waveform_type,topology,T_min,largest_tested_passing_tau_transport_min,status,tau_sensor_min
ramp,plug,2,0.12936701,PASSING_BOUNDARY,1
ramp,plug,5,0.25166396,PASSING_BOUNDARY,1
ramp,plug,10,1.3930202,PASSING_BOUNDARY,1
ramp,plug,30,6.3756295,PASSING_BOUNDARY,1
ramp,plug,60,13.639734,PASSING_BOUNDARY,1
ramp,cstr,2,0.10696774,PASSING_BOUNDARY,1
ramp,cstr,5,0.22884197,PASSING_BOUNDARY,1
ramp,cstr,10,1.3930202,PASSING_BOUNDARY,1
ramp,cstr,30,6.3756295,PASSING_BOUNDARY,1
ramp,cstr,60,13.639734,PASSING_BOUNDARY,1
ramp,gamma_rtd,2,0.12936701,PASSING_BOUNDARY,1
ramp,gamma_rtd,5,0.25166396,PASSING_BOUNDARY,1
ramp,gamma_rtd,10,1.3930202,PASSING_BOUNDARY,1
ramp,gamma_rtd,30,6.3756295,PASSING_BOUNDARY,1
ramp,gamma_rtd,60,13.639734,PASSING_BOUNDARY,1
